id,nome,interesse
646,Yasmin Souza,Previdência Privada
647,Vitor Martins,Day Trade
648,Nicolas Ferreira,Cartão de Crédito Black
649,Daniela Souza,Reserva de Emergência
650,Daniela Santos,Previdência Privada
651,Igor Oliveira,Seguro de Vida
652,Olivia Oliveira,Tesouro Direto
653,Pedro Souza,Seguro de Vida
654,Helena Ribeiro,Ações e Bolsa de Valores
655,Ana Souza,Reserva de Emergência
656,Carlos Ribeiro,Criptomoedas
657,Helena Almeida,Reserva de Emergência
658,Tatiana Rodrigues,Reserva de Emergência
659,Lucas Martins,Criptomoedas
660,Julia Lima,Fundos Imobiliários (FIIs)
661,Lucas Souza,Reserva de Emergência
662,Rafaela Rodrigues,Cartão de Crédito Black
663,Bruno Gomes,Financiamento de Imóveis
664,Eduardo Oliveira,Previdência Privada
665,Ana Santos,Cartão de Crédito Black
666,Rafaela Souza,Fundos Imobiliários (FIIs)
667,Carlos Souza,Seguro de Vida
668,Rafaela Costa,Ações e Bolsa de Valores
669,Helena Santos,Fundos Imobiliários (FIIs)
670,Vitor Santos,Cartão de Crédito Black
671,Tatiana Rodrigues,Reserva de Emergência
672,Ana Santos,Day Trade
673,Helena Rodrigues,Tesouro Direto
674,Rafaela Araujo,Previdência Privada
675,Helena Oliveira,Ações e Bolsa de Valores
676,Igor Almeida,Seguro de Vida
677,Mariana Lima,Day Trade
678,Olivia Barbosa,Tesouro Direto
679,Igor Ferreira,Previdência Privada
680,Mariana Almeida,Cartão de Crédito Black
681,Eduardo Souza,Seguro de Vida
682,Lucas Martins,Ações e Bolsa de Valores
683,Fernanda Almeida,Financiamento de Imóveis
684,Julia Araujo,Fundos Imobiliários (FIIs)
685,Yasmin Costa,Day Trade
686,Lucas Ferreira,Reserva de Emergência
687,Nicolas Martins,Previdência Privada
688,Bruno Silva,Day Trade
689,Carlos Barbosa,Previdência Privada
690,Samuel Ferreira,Fundos Imobiliários (FIIs)
691,Carlos Ferreira,Tesouro Direto
692,Fernanda Souza,Tesouro Direto
693,Nicolas Santos,Tesouro Direto
694,Tatiana Silva,Seguro de Vida
695,Daniela Silva,Fundos Imobiliários (FIIs)
696,Nicolas Oliveira,Criptomoedas
697,Helena Lima,Cartão de Crédito Black
698,Vitor Silva,Financiamento de Imóveis
699,Samuel Barbosa,Reserva de Emergência
700,Ana Ferreira,Reserva de Emergência
701,Igor Souza,Financiamento de Imóveis
702,Ana Almeida,Seguro de Vida
703,Julia Lima,Seguro de Vida
704,Lucas Ribeiro,Fundos Imobiliários (FIIs)
705,Fernanda Barbosa,Reserva de Emergência
706,Fernanda Silva,Day Trade
707,Igor Ferreira,Reserva de Emergência
708,Yasmin Barbosa,Ações e Bolsa de Valores
709,Rafaela Santos,Day Trade
710,Ana Gomes,Cartão de Crédito Black
711,Gabriel Lima,Financiamento de Imóveis
712,Lucas Martins,Ações e Bolsa de Valores
713,Fernanda Gomes,Fundos Imobiliários (FIIs)
714,Mariana Oliveira,Seguro de Vida
715,Rafaela Silva,Cartão de Crédito Black
716,Fernanda Almeida,Previdência Privada
717,Gabriel Souza,Financiamento de Imóveis
718,Ana Barbosa,Day Trade
719,Igor Gomes,Fundos Imobiliários (FIIs)
720,Vitor Araujo,Cartão de Crédito Black
721,Pedro Ribeiro,Ações e Bolsa de Valores
722,Fernanda Lima,Criptomoedas
723,Ana Ferreira,Tesouro Direto
724,Igor Gomes,Cartão de Crédito Black
725,Lucas Oliveira,Reserva de Emergência
726,Tatiana Santos,Seguro de Vida
727,Rafaela Gomes,Fundos Imobiliários (FIIs)
728,Nicolas Lima,Tesouro Direto
729,Tatiana Souza,Fundos Imobiliários (FIIs)
730,Lucas Lima,Reserva de Emergência
731,Gabriel Santos,Tesouro Direto
732,Nicolas Costa,Reserva de Emergência
733,Bruno Araujo,Financiamento de Imóveis
734,Lucas Ribeiro,Seguro de Vida
735,Tatiana Oliveira,Cartão de Crédito Black
736,Mariana Oliveira,Seguro de Vida
737,Carlos Santos,Day Trade
738,Mariana Pereira,Day Trade
739,Samuel Ferreira,Day Trade
740,Yasmin Santos,Reserva de Emergência
741,Rafaela Gomes,Financiamento de Imóveis
742,Fernanda Almeida,Tesouro Direto
743,Mariana Gomes,Reserva de Emergência
744,Julia Souza,Tesouro Direto
745,Carlos Gomes,Ações e Bolsa de Valores
746,Helena Souza,Financiamento de Imóveis
747,Rafaela Gomes,Reserva de Emergência
748,Ana Martins,Ações e Bolsa de Valores
749,Yasmin Almeida,Day Trade
750,Samuel Almeida,Seguro de Vida
751,Pedro Pereira,Previdência Privada
752,Samuel Martins,Criptomoedas
753,Carlos Lima,Reserva de Emergência
754,Daniela Rodrigues,Tesouro Direto
755,Mariana Pereira,Seguro de Vida
756,Yasmin Barbosa,Ações e Bolsa de Valores
757,Julia Souza,Ações e Bolsa de Valores
758,Rafaela Ferreira,Tesouro Direto
759,Nicolas Souza,Previdência Privada
760,Nicolas Rodrigues,Financiamento de Imóveis
761,Rafaela Ferreira,Tesouro Direto
762,Daniela Ribeiro,Reserva de Emergência
763,Carlos Martins,Day Trade
764,Daniela Costa,Financiamento de Imóveis
765,Rafaela Pereira,Fundos Imobiliários (FIIs)
766,Pedro Costa,Ações e Bolsa de Valores
767,Pedro Ferreira,Day Trade
768,Pedro Almeida,Criptomoedas
769,Fernanda Lima,Ações e Bolsa de Valores
770,Eduardo Barbosa,Fundos Imobiliários (FIIs)
771,Fernanda Lima,Tesouro Direto
772,Tatiana Gomes,Criptomoedas
773,Yasmin Souza,Ações e Bolsa de Valores
774,Gabriel Silva,Fundos Imobiliários (FIIs)
775,Igor Almeida,Fundos Imobiliários (FIIs)
776,Vitor Barbosa,Financiamento de Imóveis
777,Pedro Costa,Criptomoedas
778,Olivia Martins,Tesouro Direto
779,Pedro Santos,Seguro de Vida
780,Fernanda Souza,Tesouro Direto
781,Nicolas Araujo,Day Trade
782,Pedro Oliveira,Tesouro Direto
783,Helena Almeida,Ações e Bolsa de Valores
784,Helena Costa,Tesouro Direto
785,Daniela Rodrigues,Criptomoedas
786,Olivia Oliveira,Cartão de Crédito Black
787,Daniela Pereira,Tesouro Direto
788,Yasmin Oliveira,Ações e Bolsa de Valores
789,Eduardo Oliveira,Fundos Imobiliários (FIIs)
790,Bruno Rodrigues,Tesouro Direto
791,Helena Ribeiro,Reserva de Emergência
792,Bruno Oliveira,Financiamento de Imóveis
793,Lucas Costa,Cartão de Crédito Black
794,Samuel Gomes,Tesouro Direto
795,Bruno Rodrigues,Fundos Imobiliários (FIIs)
796,Yasmin Martins,Fundos Imobiliários (FIIs)
797,Olivia Almeida,Criptomoedas
798,Carlos Gomes,Financiamento de Imóveis
799,Carlos Santos,Previdência Privada
800,Eduardo Gomes,Financiamento de Imóveis
801,Rafaela Martins,Day Trade
802,Fernanda Costa,Day Trade
803,Lucas Costa,Previdência Privada
804,Pedro Santos,Fundos Imobiliários (FIIs)
805,Rafaela Almeida,Cartão de Crédito Black
806,Pedro Pereira,Tesouro Direto
807,Igor Costa,Cartão de Crédito Black
808,Eduardo Santos,Financiamento de Imóveis
809,Carlos Ferreira,Cartão de Crédito Black
810,Helena Lima,Financiamento de Imóveis
811,Daniela Costa,Financiamento de Imóveis
812,Helena Silva,Fundos Imobiliários (FIIs)
813,Tatiana Almeida,Tesouro Direto
814,Igor Santos,Previdência Privada
815,Ana Costa,Previdência Privada
816,Lucas Silva,Cartão de Crédito Black
817,Vitor Ribeiro,Fundos Imobiliários (FIIs)
818,Nicolas Souza,Criptomoedas
819,Carlos Ferreira,Previdência Privada
820,Julia Almeida,Seguro de Vida
821,Igor Santos,Cartão de Crédito Black
822,Tatiana Pereira,Criptomoedas
823,Pedro Ferreira,Criptomoedas
824,Yasmin Araujo,Fundos Imobiliários (FIIs)
825,Fernanda Souza,Ações e Bolsa de Valores
826,Pedro Gomes,Criptomoedas
827,Ana Araujo,Cartão de Crédito Black
828,Nicolas Souza,Tesouro Direto
829,Bruno Ribeiro,Reserva de Emergência
830,Mariana Santos,Reserva de Emergência
831,Tatiana Martins,Reserva de Emergência
832,Helena Oliveira,Previdência Privada
833,Nicolas Souza,Reserva de Emergência
834,Pedro Araujo,Financiamento de Imóveis
835,Yasmin Souza,Tesouro Direto
836,Igor Pereira,Previdência Privada
837,Julia Gomes,Fundos Imobiliários (FIIs)
838,Tatiana Almeida,Seguro de Vida
839,Vitor Almeida,Previdência Privada
840,Daniela Santos,Reserva de Emergência
841,Bruno Pereira,Day Trade
842,Tatiana Santos,Criptomoedas
843,Tatiana Silva,Criptomoedas
844,Carlos Ribeiro,Ações e Bolsa de Valores
845,Rafaela Rodrigues,Day Trade
846,Vitor Costa,Reserva de Emergência
847,Igor Barbosa,Reserva de Emergência
848,Gabriel Lima,Cartão de Crédito Black
849,Nicolas Martins,Criptomoedas
850,Lucas Almeida,Financiamento de Imóveis
851,Lucas Souza,Criptomoedas
852,Olivia Oliveira,Seguro de Vida
853,Rafaela Costa,Reserva de Emergência
854,Helena Almeida,Ações e Bolsa de Valores
855,Olivia Barbosa,Criptomoedas
856,Rafaela Barbosa,Financiamento de Imóveis
857,Samuel Barbosa,Cartão de Crédito Black
858,Lucas Rodrigues,Tesouro Direto
859,Gabriel Oliveira,Financiamento de Imóveis
860,Samuel Gomes,Fundos Imobiliários (FIIs)
861,Carlos Ribeiro,Cartão de Crédito Black
862,Pedro Lima,Day Trade
863,Rafaela Gomes,Reserva de Emergência
864,Mariana Pereira,Criptomoedas
865,Daniela Barbosa,Ações e Bolsa de Valores
866,Samuel Gomes,Day Trade
867,Igor Rodrigues,Financiamento de Imóveis
868,Helena Araujo,Financiamento de Imóveis
869,Yasmin Barbosa,Reserva de Emergência
870,Pedro Almeida,Financiamento de Imóveis
871,Samuel Costa,Seguro de Vida
872,Gabriel Martins,Seguro de Vida
873,Lucas Martins,Tesouro Direto
874,Mariana Gomes,Cartão de Crédito Black
875,Pedro Ferreira,Financiamento de Imóveis
876,Julia Ribeiro,Reserva de Emergência
877,Eduardo Lima,Seguro de Vida
878,Pedro Araujo,Criptomoedas
879,Carlos Ribeiro,Reserva de Emergência
880,Vitor Ribeiro,Seguro de Vida
881,Fernanda Ribeiro,Day Trade
882,Lucas Ferreira,Fundos Imobiliários (FIIs)
883,Eduardo Araujo,Reserva de Emergência
884,Helena Costa,Seguro de Vida
885,Samuel Oliveira,Seguro de Vida
886,Tatiana Ribeiro,Ações e Bolsa de Valores
887,Yasmin Barbosa,Previdência Privada
888,Vitor Martins,Previdência Privada
889,Eduardo Lima,Fundos Imobiliários (FIIs)
890,Eduardo Barbosa,Previdência Privada
891,Julia Souza,Reserva de Emergência
892,Helena Araujo,Tesouro Direto
893,Mariana Barbosa,Criptomoedas
894,Eduardo Costa,Tesouro Direto
895,Vitor Almeida,Financiamento de Imóveis
896,Pedro Almeida,Seguro de Vida
897,Bruno Oliveira,Reserva de Emergência
898,Bruno Souza,Financiamento de Imóveis
899,Yasmin Martins,Previdência Privada
900,Daniela Gomes,Ações e Bolsa de Valores
901,Gabriel Oliveira,Fundos Imobiliários (FIIs)
902,Vitor Souza,Criptomoedas
903,Tatiana Santos,Seguro de Vida
904,Helena Martins,Fundos Imobiliários (FIIs)
905,Lucas Costa,Tesouro Direto
906,Fernanda Costa,Ações e Bolsa de Valores
907,Julia Martins,Seguro de Vida
908,Yasmin Santos,Tesouro Direto
909,Daniela Souza,Seguro de Vida
910,Helena Rodrigues,Criptomoedas
911,Pedro Lima,Cartão de Crédito Black
912,Rafaela Ferreira,Day Trade
913,Fernanda Barbosa,Tesouro Direto
914,Lucas Gomes,Tesouro Direto
915,Yasmin Rodrigues,Seguro de Vida
916,Rafaela Araujo,Seguro de Vida
917,Lucas Ferreira,Financiamento de Imóveis
918,Samuel Ferreira,Financiamento de Imóveis
919,Mariana Lima,Financiamento de Imóveis
920,Pedro Costa,Tesouro Direto
921,Gabriel Gomes,Ações e Bolsa de Valores
922,Fernanda Araujo,Financiamento de Imóveis
923,Tatiana Ferreira,Reserva de Emergência
924,Gabriel Barbosa,Cartão de Crédito Black
925,Fernanda Rodrigues,Cartão de Crédito Black
926,Gabriel Gomes,Previdência Privada
927,Daniela Ferreira,Day Trade
928,Samuel Souza,Seguro de Vida
929,Gabriel Ferreira,Previdência Privada
930,Igor Pereira,Cartão de Crédito Black
931,Yasmin Ribeiro,Cartão de Crédito Black
932,Lucas Rodrigues,Reserva de Emergência
933,Carlos Santos,Day Trade
934,Olivia Santos,Seguro de Vida
935,Julia Costa,Seguro de Vida
936,Fernanda Ferreira,Cartão de Crédito Black
937,Julia Oliveira,Tesouro Direto
938,Rafaela Pereira,Fundos Imobiliários (FIIs)
939,Helena Martins,Reserva de Emergência
940,Vitor Ferreira,Financiamento de Imóveis
941,Nicolas Ferreira,Previdência Privada
942,Pedro Oliveira,Fundos Imobiliários (FIIs)
943,Gabriel Gomes,Reserva de Emergência
944,Bruno Ribeiro,Fundos Imobiliários (FIIs)
945,Helena Souza,Criptomoedas
946,Daniela Souza,Previdência Privada
947,Helena Almeida,Financiamento de Imóveis
948,Carlos Pereira,Criptomoedas
949,Ana Martins,Criptomoedas
950,Tatiana Pereira,Previdência Privada
951,Samuel Ferreira,Criptomoedas
952,Ana Ribeiro,Day Trade
953,Helena Pereira,Reserva de Emergência
954,Fernanda Gomes,Seguro de Vida
955,Gabriel Lima,Cartão de Crédito Black
956,Nicolas Costa,Criptomoedas
957,Olivia Araujo,Ações e Bolsa de Valores
958,Samuel Araujo,Fundos Imobiliários (FIIs)
959,Tatiana Souza,Day Trade
960,Fernanda Santos,Seguro de Vida
961,Fernanda Barbosa,Previdência Privada
962,Gabriel Almeida,Fundos Imobiliários (FIIs)
963,Rafaela Oliveira,Criptomoedas
964,Mariana Almeida,Day Trade
965,Rafaela Barbosa,Fundos Imobiliários (FIIs)
966,Gabriel Souza,Previdência Privada
967,Helena Santos,Criptomoedas
968,Yasmin Gomes,Financiamento de Imóveis
969,Samuel Lima,Day Trade
970,Daniela Martins,Day Trade
971,Mariana Martins,Previdência Privada
972,Pedro Souza,Day Trade
973,Yasmin Santos,Seguro de Vida
974,Bruno Silva,Cartão de Crédito Black
975,Julia Martins,Seguro de Vida
976,Pedro Martins,Tesouro Direto
977,Samuel Lima,Fundos Imobiliários (FIIs)
978,Gabriel Pereira,Reserva de Emergência
979,Helena Almeida,Fundos Imobiliários (FIIs)
980,Vitor Martins,Ações e Bolsa de Valores
981,Tatiana Souza,Previdência Privada
982,Gabriel Araujo,Financiamento de Imóveis
983,Nicolas Ferreira,Ações e Bolsa de Valores
984,Lucas Silva,Ações e Bolsa de Valores
985,Fernanda Silva,Previdência Privada
986,Ana Rodrigues,Fundos Imobiliários (FIIs)
987,Yasmin Rodrigues,Previdência Privada
988,Fernanda Rodrigues,Seguro de Vida
989,Gabriel Lima,Ações e Bolsa de Valores
990,Julia Almeida,Day Trade
991,Daniela Martins,Cartão de Crédito Black
992,Tatiana Lima,Seguro de Vida
993,Carlos Silva,Criptomoedas
994,Ana Costa,Financiamento de Imóveis
995,Olivia Silva,Day Trade
996,Samuel Oliveira,Reserva de Emergência
997,Nicolas Costa,Cartão de Crédito Black
998,Tatiana Araujo,Fundos Imobiliários (FIIs)
999,Yasmin Gomes,Seguro de Vida
1000,Pedro Santos,Ações e Bolsa de Valores
